Applied Math,Astrophysics,Biomedical Engineering,Chemical and Physical Biology,Chemistry,Chemistry and Physics,Computer Science,Earth and Planetary Sciences,Economics,Electrical Engineering,Engineering Sciences,Environmental Science and Engineering,Environmental Science and Public Policy,Human Developmental and Regenerative Biology,Human Evolutionary Biology,Integrative Biology,Mathematics,Mechanical Engineering,Molecular and Cellular Biology,Neuroscience,Physics,Statistics
MATH Ma,ASTRON 16,APMTH 21a,LPSA,LPSA,LS 1a,MATH 1a,E-PSCI 10,ECON 10a,MATH 1a,APMTH 101,APMTH 21a,Ec 1661,LS 1a,LS 1a,LS 1a,APMTH 101,APMTH 101,LS 1a,LS 1a,APMTH 201,APMTH 104
MATH Mb,ASTRON 17,APMTH 21b,LS 1a,LS 1a,PS 1,MATH 1b,SPU 12,ECON 10b,MATH 1b,APMTH 104,APMTH 21b,E-PSCI 135,LS 1b,LS 50a,LS 1b,APMTH 104,APMTH 104,LS 1b,LS 1b,APMTH 202,APMTH 105
MATH 1a,PHYSICS 12a,MATH 21a,LS 1b,LS 1b,PS 10,MATH 21a,SPU 14,MATH Ma,MATH 21a,APMTH 105,APPHY 50a,E-PSCI 50,MATH 1a,LS 50b,OEB 10,APMTH 105,APMTH 105,LPSA,LPSA,APMTH 21a,APMTH 106
MATH 1b,PHYSICS 12b,MATH 21b,MCB 60,PS 1,PS 11,MATH 21b,SPU 25,MATH Mb,MATH 21b,APMTH 108,APPHY 50b,ES 5,MATH 1b,HEB 97,LS 50a,APMTH 106,APMTH 106,MCB 60,APMTH 21a,APMTH 21b,APMTH 107
MATH 21a,PHYSICS 15a,MATH 23a,MCB 63,PS 10,CHEM 40,MATH 23a,SPU 29,MATH 1a,MATH 23a,APMTH 120,CHEM 17,ES 6,MATH 21a,SLS 20,LS 50b,APMTH 107,APMTH 107,MCB 63,APMTH 21b,APPHY 50a,APMTH 111
MATH 21b,PHYSICS 15b,MATH 23b,MCB 64,PS 11,CHEM 158,MATH 23b,SPU 30,MATH 1b,MATH 23b,APMTH 21a,CHEM 20,ESPP 11,MATH 21b,HEB 1280,OEB 50,APMTH 111,APMTH 108,MCB 64,MATH 1a,APPHY 50b,APMTH 115
MATH 23a,PHYSICS 15c,APPHY 50a,MCB 65,CHEM 40,CHEM 20,MATH 25a,SPU 31,MATH 21a,ENG-SCI  150,APMTH 21b,E-PSCI 134,ESPP 77,MATH 23a,MCB 80,OEB 51,APMTH 115,APMTH 120,MCB 65,MATH 1b,ASTRON 120,APMTH 120
MATH 23b,MATH 21a,APPHY 50b,MCB 68,CHEM 20,CHEM 30,MATH 25b,PS 2,MATH 21b,APMTH 104,APPHY 195,E-PSCI 186,ESPP 78,MATH 23b,SLS 16,OEB 52,APMTH 120,APMTH 21a,MCB 68,MATH 21a,ASTRON 130,APMTH 121
MATH 25a,MATH 21b,PS 2,PS 1,CHEM 30,CHEM 17,MATH 55a,PS 3,MATH 23a,APMTH 105,APPHY 50a,E-PSCI 187,ESPP 90,MATH 25a,LS 2,OEB 53,APMTH 121,APMTH 21b,PS 1,MATH 21b,ASTRON 151,APMTH 126
MATH 25b,MATH 23a,PS 3,PS 10,CHEM 17,CHEM 27,MATH 55b,PHYSICS 12a,MATH 23b,APMTH 106,APPHY 50b,ENG-SCI  112,ESPP 91r,MATH 25b,HEB 1328,OEB 54,APMTH 147,APPHY 195,CHEM 17,MATH 23a,ASTRON 191,APMTH 201
MATH 55a,MATH 23b,PHYSICS 12a,PS 11,CHEM 27,CHEM 60,COMPSCI 50,PHYSICS 12b,MATH 25a,APMTH 107,ASTRON 110,ENG-SCI  115,LS 1a,MATH 55a,HEB 1330,OEB 55,APMTH 201,APPHY 50a,CHEM 20,MATH 23b,CHEM 160,APMTH 202
MATH 55b,MATH 25a,PHYSICS 12b,CHEM 40,CHEM 160,CHEM 161,COMPSCI 51,PHYSICS 15a,MATH 25b,APMTH 108,ASTRON 189,ENG-SCI  123,LS 1b,MATH 55b,HEB 1420,OEB 56,APMTH 202,APPHY 50b,APMTH 21a,MATH 25a,CHEM 161,APMTH 203
APMTH 111,MATH 25b,PHYSICS 15a,CHEM 160,CHEM 60,PHYSICS 181,COMPSCI 61,PHYSICS 15b,MATH 55a,APMTH 120,BE 110,ENG-SCI  181,Math 1a,MATH Ma,,OEB 57,APMTH 205,COMPSCI 141,APMTH 21b,MATH 25b,CHEM 242,APMTH 205
COMPSCI 50,APMTH 21a,PHYSICS 15b,CHEM 60,CHEM 161,ES 181,COMPSCI 121,PHYSICS 15c,MATH 55b,APPHY 50a,BE 121,ENG-SCI  183,Math 1b,MATH Mb,,OEB 58,APMTH 207,COMPSCI 50,MATH 1a,MATH 55a,E-PSCI 112,APMTH 207
APMTH 205,APMTH 21b,PHYSICS 15c,MCB 199,CHEM 163,PHYSICS 12a,APMTH 107,APPHY 50a,APMTH 21a,PS 12a,BE 125,ENG-SCI  91r,MATH Ma,APMTH 21a,,OEB 59,APMTH 210,COMPSCI 51,MATH 1b,MATH 55b,E-PSCI 130,APMTH 21a
APMTH 207,ASTRON 98,PHYSICS 16,CHEM 161,CHEM 100r,PHYSICS 12b,COMPSCI 124,APPHY 50b,APMTH 21b,PHYSICS 15a,BE 128,ENG-SCI  96,MATH Mb,APMTH 21b,,MCB 60,APMTH 211,COMPSCI 61,MATH 21a,MATH Ma,E-PSCI 131,APMTH 21b
COMPSCI 51,ASTRON 2,APMTH 101,CHEM 20,CHEM 135,PHYSICS 15a,STAT 110,CHEM 17,ECON 970,PHYSICS 16,BE 130,ESE 109,OEB 10,STAT 102,,MCB 63,APMTH 21a,ENG-SCI  100hf,MATH 21b,MATH Mb,E-PSCI 132,APMTH 221
COMPSCI 61,ASTRON 5,STAT 111,CHEM 30,CHEM 145,PHYSICS 15b,STAT 195,E-PSCI 133,STAT 100,APPHY 50b,BE 160,ESE 130,OEB 55,STAT 104,,MCB 80,APMTH 21b,ENG-SCI  111,MATH 23a,HEB 1420,E-PSCI 133,APMTH 222
COMPSCI 181,,CHEM 17,CHEM 17,CHEM 165,PHYSICS 15c,COMPSCI 20,E-PSCI 135,STAT 104,PS 12b,BE 191,ESE 131,PS 1,STAT 107,,MCB 121,APMTH 50,ENG-SCI  115,MATH 23b,LS 2,E-PSCI 135,APMTH 231
COMPSCI 182,,CHEM 20,CHEM 27,CHEM 170,APPHY 50a,MATH 154,ES 164,STAT 109,PHYSICS 15b,CHEM 160,ESE 132,PS 11,STAT 110,,LS 2,ASTRON 193,ENG-SCI  120,MATH Ma,MCB 60,E-PSCI 136,ASTRON 100
COMPSCI 205,,LPSA,MATH 19a,MCB 52,APPHY 50b,APMTH 106,PS 1,STAT 110,LS 1a,CHEM 17,ESE 133,SPU 25,STAT 115,,SCRB 10,ASTRON 200,ENG-SCI  121,MATH Mb,MCB 63,E-PSCI 141,ASTRON 193
STAT 121,,LS 1a,MATH 19b,MCB 60,PHYSICS 143a,APMTH 107,PS 10,APMTH 101,LPSA,CHEM 20,ESE 135,SPU 29,PS 1,,,CHEM 160,ENG-SCI  123,MATH 19a,MCB 64,E-PSCI 162,BIOSTAT 232
STAT 110,,LS 1b,APMTH 21a,MCB 63,CHEM 160,APMTH 120,PS 11,Math 154,PS 1,COMPSCI 141,ESE 137,SPU 31,PS 11,,,CHEM 161,ENG-SCI  125,STAT 102,MCB 65,E-PSCI 166,BIOSTAT 233
MATH 154,,ES 53,APMTH 21b,MCB 65,MATH 21a,APMTH 121,MATH Ma,ECON 1010a,PS 11,COMPSCI 143,ESE 138,SPU29,SCRB 10,,,CHEM 242,ENG-SCI  128,STAT 110,MCB 68,E-PSCI 50,BIOSTAT 234
STAT 111,,BE 110,MATH 21a,MATH 21a,MATH 21b,ENG-SCI  50,MATH Mb,ECON 1010b,PS 10,COMPSCI 144r,ESE 160,,MCB 60,,,COMPSCI 121,ENG-SCI  150,STAT 111,OEB 50,E-PSCI 52,BIOSTAT 235
STAT 139,,ES 123,MATH 21b,MATH 21b,MATH 23a,ENG-SCI  52,MATH 1a,ECON 1011a,PHYSICS 15c,COMPSCI 146,ESE 161,,SCRB 20,,,COMPSCI 124,ENG-SCI  151,COMPSCI 50,OEB 53,ENG-SCI  120,BIOSTAT 238
MATH 117,,ES 181,PHYSICS 16,MATH 23a,MATH 23b,ENG-SCI  54,MATH 1b,ECON 1011b,COMPSCI 50,COMPSCI 148,ESE 162,,PS 2,,,COMPSCI 125,ENG-SCI  152,PS 2,NEURO 80,ENG-SCI  123,BIOSTAT 244
APMTH 126,,ES 112,PHYSICS 15a,MATH 23b,MATH 25a,ENG-SCI  153,MATH 21a,ECON 1123,COMPSCI 51,COMPSCI 175,ESE 163,,CHEM 17,,,COMPSCI 181,ENG-SCI  153,PS 3,NEURO 57,ENG-SCI  125,BIOSTAT 245
APMTH 105,,MCB 199,PS 2,MATH 25a,MATH 25b,PHYSICS 123,MATH 21b,ECON 1126,COMPSCI 61,COMPSCI 50,ESE 166,,CHEM 27,,,COMPSCI 187,ENG-SCI  156,LS 100r,NEURO 105,ENG-SCI  128,BIOSTAT 250
APMTH 108,,BE 121,PHYSICS 12a,MATH 25b,APMTH 21a,ENG-SCI  170,MATH 23a,,ENG-SCI  96,COMPSCI 51,ESE 169,,CHEM 20,,,COMPSCI 220r,ENG-SCI  162,MCB 91r,NEURO 115,ENG-SCI  151,BIOSTAT 251
APMTH 202,,BE 125,APPHY 50a,APMTH 21a,APMTH 21b,COMPSCI 91r,MATH 23b,,ENG-SCI  100hf,COMPSCI 61,ESE 6,,CHEM 30,,,COMPSCI 221,ENG-SCI  173,MCB 99,NEURO 120,ENG-SCI  153,COMPSCI 105
MATH 110,,BE 160,COMPSCI 50,APMTH 21b,CHEM 91r,,MATH 25a,,ENG-SCI  152,E-PSCI 121,LPSA,,SCRB 91r,,,COMPSCI 222,ENG-SCI  175,,NEURO 125,ENG-SCI  154,COMPSCI 108
APMTH 104,,BE 191,COMPSCI 109,PHYSICS 12a,CHEM 98,,MATH 25b,,ENG-SCI  155,E-PSCI 161,LS 1a,,,,,COMPSCI 223,ENG-SCI  177,,MBB 980,ENG-SCI  170,COMPSCI 109A
APMTH 201,,ES 227,APMTH 111,PHYSICS 12b,CHEM 99,,MATH 55a,,ENG-SCI  156,E-PSCI 166,MATH 1a,,,,,COMPSCI 225,ENG-SCI  181,,STAT 110,ENG-SCI  173,COMPSCI 109B
MATH 112,,BE 128,APMTH 115,PHYSICS 15a,PHYSICS 90r,,MATH 55b,,COMPSCI 141,E-PSCI 171,MATH 1b,,,,,COMPSCI 226r,ENG-SCI  183,,COMPSCI 50,ENG-SCI  175,COMPSCI 121
MATH 113,,BE 130,APMTH 126,PHYSICS 15b,,,APMTH 21a,,ENG-SCI  50,ENG-SCI  111,MATH 21a,,,,,COMPSCI 228,ENG-SCI  190,,COMPSCI 51,ENG-SCI  181,COMPSCI 124
MATH 114,,ES 120,MCB 111,PHYSICS 15c,,,APMTH 21b,,ENG-SCI  151,ENG-SCI  115,MATH 21b,,,,,COMPSCI 277,ENG-SCI  227,,COMPSCI 61,ENG-SCI  190,COMPSCI 125
MATH 115,,ES 221,MCB 112,APPHY 50a,,,,,ENG-SCI  154,ENG-SCI  120,MATH 23a,,,,,COMPSCI 51,ENG-SCI  50,,HEB 1420,MATH 1a,COMPSCI 126
MATH 118r,,ES 228,MCB 131,APPHY 50b,,,,,ENG-SCI  157,ENG-SCI  121,MATH 23b,,,,,ECON 2010a,ENG-SCI  51,,BE 130,MATH 1b,COMPSCI 127
APMTH 120,,CHEM 27,,,,,,,ENG-SCI  158,ENG-SCI  123,MATH 25a,,,,,ECON 2010b,ENG-SCI  53,,MCB 131,MATH 21a,COMPSCI 134
MATH 121,,CHEM 30,,,,,,,ENG-SCI  159,ENG-SCI  125,MATH 25b,,,,,ECON 2010c,ENG-SCI  54,,NEURO 130,MATH 21b,COMPSCI 136
APMTH 106,,CHEM 160,,,,,,,ENG-SCI  173,ENG-SCI  128,MATH 55a,,,,,ECON 2052,ENG-SCI  96,,NEURO 140,MATH 23a,COMPSCI 143
APMTH 206,,COMPSCI 50,,,,,,,ENG-SCI  175,ENG-SCI  150,MATH 55b,,,,,ECON 2099,LPSA,,NEURO 141,MATH 23b,COMPSCI 165
MATH 122,,MCB 60,,,,,,,ENG-SCI  176,ENG-SCI  151,MATH Ma,,,,,ECON 2120,LS 1a,,PSYCH 1401,MATH 25a,COMPSCI 171
MATH 123,,MCB 80,,,,,,,ENG-SCI  177,ENG-SCI  152,MATH Mb,,,,,ENG-SCI  123,MATH 1a,,PSYCH 1451,MATH 25b,COMPSCI 181
MATH 124,,OEB 53,,,,,,,APPHY 195,ENG-SCI  153,OEB 120,,,,,ENG-SCI  125,MATH 1b,,,MATH 55a,COMPSCI 182
APMTH 121,,,,,,,,,COMPSCI 143,ENG-SCI  154,OEB 157,,,,,ENG-SCI  145,MATH 21a,,,MATH 55b,COMPSCI 187
MATH 116,,,,,,,,,COMPSCI 144r,ENG-SCI  155,OEB 55,,,,,ENG-SCI  156,MATH 21b,,,MATH Ma,COMPSCI 205
APMTH 107,,,,,,,,,COMPSCI 146,ENG-SCI  156,PS 1,,,,,ENG-SCI  181,MATH 23a,,,MATH Mb,COMPSCI 207
MATH 152,,,,,,,,,COMPSCI 148,ENG-SCI  157,PS 10,,,,,ENG-SCI  201,MATH 23b,,,PS 10,COMPSCI 222
MATH 155r,,,,,,,,,COMPSCI 189,ENG-SCI  159,PS 11,,,,,ENG-SCI  202,MATH Ma,,,PS 12a,COMPSCI 223
COMPSCI 121,,,,,,,,,BE 128,ENG-SCI  173,PS 12a,,,,,ENG-SCI  203,MATH Mb,,,PS 12b,COMPSCI 224
COMPSCI 124,,,,,,,,,BE 130,ENG-SCI  175,PS 12b,,,,,ENG-SCI  209,PS 1,,,PHYSICS 143a,COMPSCI 227R
COMPSCI 125,,,,,,,,,ENG-SCI  6,ENG-SCI  177,PHYSICS 15a,,,,,ENG-SCI  210,PS 10,,,PHYSICS 15a,COMPSCI 229R
APMTH 50,,,,,,,,,ENG-SCI  51,ENG-SCI  181,PHYSICS 15b,,,,,ENG-SCI  220,PS 11,,,PHYSICS 15b,COMPSCI 242
APMTH 91r,,,,,,,,,ENG-SCI  53,ENG-SCI  183,PHYSICS 16,,,,,ENG-SCI  241,PS 12a,,,PHYSICS 15c,COMPSCI 265
APMTH 115,,,,,,,,,ENG-SCI  111,ENG-SCI  190,SPU 25,,,,,ENG-SCI  255,PS 12b,,,PHYSICS 16,COMPSCI 281
ECON 985,,,,,,,,,ENG-SCI  115,ENG-SCI  211,SPU 29,,,,,MATH 121,PHYSICS 15a,,,PHYSICS 90r,COMPSCI 282R
,,,,,,,,,ENG-SCI  120,ENG-SCI  220,SPU 31,,,,,MATH 122,PHYSICS 15b,,,PHYSICS 91r,COMPSCI 287
,,,,,,,,,ENG-SCI  121,ENG-SCI  221,,,,,,MATH 18,PHYSICS 16,,,,COMPSCI 50
,,,,,,,,,ENG-SCI  123,ENG-SCI  228,,,,,,MATH 19a,STAT 110,,,,COMPSCI 51
,,,,,,,,,ENG-SCI  125,ENG-SCI  240,,,,,,MATH 19b,,,,,COMPSCI 61
,,,,,,,,,ENG-SCI  181,ENG-SCI  51,,,,,,MATH 21a,,,,,ECON 1011a
,,,,,,,,,ENG-SCI  190,ENG-SCI  51,,,,,,MATH 21b,,,,,ECON 1011b
,,,,,,,,,ESE 6,ENG-SCI  53,,,,,,MATH 23a,,,,,ECON 1030
,,,,,,,,,,ENG-SCI  54,,,,,,MATH 23b,,,,,ECON 1034
,,,,,,,,,,ENG-SCI  91r,,,,,,MATH 25a,,,,,ECON 1051
,,,,,,,,,,ENG-SCI  96,,,,,,MATH 25b,,,,,ECON 1057
,,,,,,,,,,ESE 131,,,,,,MATH 55a,,,,,ECON 1078
,,,,,,,,,,ESE 132,,,,,,MATH 55b,,,,,ECON 1123
,,,,,,,,,,ESE 162,,,,,,MATH 99r,,,,,ECON 1126
,,,,,,,,,,ESE 131,,,,,,OEB 173,,,,,ECON 1460
,,,,,,,,,,ESE 132,,,,,,OEB 181,,,,,ECON 1723
,,,,,,,,,,ESE 162,,,,,,OEB 252,,,,,ECON 1745
,,,,,,,,,,LS 1a,,,,,,PHIL 140,,,,,ECON 1820
,,,,,,,,,,MATH 1a,,,,,,PHIL 144,,,,,ECON 2110
,,,,,,,,,,MATH 1b,,,,,,PS 12a,,,,,ECON 2120
,,,,,,,,,,MATH 21a,,,,,,PS 12b,,,,,ECON 2140
,,,,,,,,,,MATH 21b,,,,,,STAT 107,,,,,ECON 2142
,,,,,,,,,,MATH 23a,,,,,,STAT 110,,,,,ECON 2144
,,,,,,,,,,MATH 23b,,,,,,STAT 111,,,,,ECON 2146
,,,,,,,,,,MATH 25a,,,,,,STAT 139,,,,,ECON 2150
,,,,,,,,,,MATH 25b,,,,,,STAT 140,,,,,ECON 2723
,,,,,,,,,,MATH 55a,,,,,,STAT 149,,,,,ECON 2725
,,,,,,,,,,MATH 55b,,,,,,STAT 170,,,,,ECON 2728
,,,,,,,,,,MATH Ma,,,,,,STAT 171,,,,,ENG-SCI  201
,,,,,,,,,,MATH Mb,,,,,,STAT 210,,,,,ENG-SCI  202
,,,,,,,,,,PS 1,,,,,,STAT 211,,,,,ENG-SCI  203
,,,,,,,,,,PS 1,,,,,,STAT 215,,,,,ENG-SCI  250
,,,,,,,,,,PS 12a,,,,,,STAT 220,,,,,GOV 1010
,,,,,,,,,,PS 12b,,,,,,STAT 221,,,,,GOV 1016
,,,,,,,,,,PHYSICS 136,,,,,,,,,,,GOV 1430
,,,,,,,,,,PHYSICS 140,,,,,,,,,,,GOV 2000
,,,,,,,,,,PHYSICS 143a,,,,,,,,,,,GOV 2001
,,,,,,,,,,PHYSICS 151,,,,,,,,,,,GOV 2002
,,,,,,,,,,PHYSICS 153,,,,,,,,,,,GOV 2003
,,,,,,,,,,PHYSICS 15a,,,,,,,,,,,GOV 2430
,,,,,,,,,,PHYSICS 15b,,,,,,,,,,,
,,,,,,,,,,PHYSICS 16,,,,,,,,,,,LPSA
,,,,,,,,,,PHYSICS 175,,,,,,,,,,,LS 1A
,,,,,,,,,,PHYSICS 181,,,,,,,,,,,LS 1B
,,,,,,,,,,,,,,,,,,,,,MATH 101
,,,,,,,,,,,,,,,,,,,,,MATH 106
,,,,,,,,,,,,,,,,,,,,,MATH 110
,,,,,,,,,,,,,,,,,,,,,MATH 112
,,,,,,,,,,,,,,,,,,,,,MATH 113
,,,,,,,,,,,,,,,,,,,,,MATH 114
,,,,,,,,,,,,,,,,,,,,,MATH 115
,,,,,,,,,,,,,,,,,,,,,MATH 116
,,,,,,,,,,,,,,,,,,,,,MATH 121
,,,,,,,,,,,,,,,,,,,,,MATH 122
,,,,,,,,,,,,,,,,,,,,,MATH 123
,,,,,,,,,,,,,,,,,,,,,MATH 136
,,,,,,,,,,,,,,,,,,,,,MATH 153
,,,,,,,,,,,,,,,,,,,,,MATH 155R
,,,,,,,,,,,,,,,,,,,,,MATH 18
,,,,,,,,,,,,,,,,,,,,,MATH 19a
,,,,,,,,,,,,,,,,,,,,,MATH 19b
,,,,,,,,,,,,,,,,,,,,,MATH 212A
,,,,,,,,,,,,,,,,,,,,,MATH 212BR
,,,,,,,,,,,,,,,,,,,,,MATH 213
,,,,,,,,,,,,,,,,,,,,,MATH 21a
,,,,,,,,,,,,,,,,,,,,,MATH 21b
,,,,,,,,,,,,,,,,,,,,,MATH 23a
,,,,,,,,,,,,,,,,,,,,,MATH 23b
,,,,,,,,,,,,,,,,,,,,,MATH 25a
,,,,,,,,,,,,,,,,,,,,,MATH 25b
,,,,,,,,,,,,,,,,,,,,,MATH 55a
,,,,,,,,,,,,,,,,,,,,,MATH 55b
,,,,,,,,,,,,,,,,,,,,,MCB 112
,,,,,,,,,,,,,,,,,,,,,MCB 111
,,,,,,,,,,,,,,,,,,,,,MCB 199
,,,,,,,,,,,,,,,,,,,,,OEB 152
,,,,,,,,,,,,,,,,,,,,,OEB 242
,,,,,,,,,,,,,,,,,,,,,PHIL 150
,,,,,,,,,,,,,,,,,,,,,PHYSICS 181
,,,,,,,,,,,,,,,,,,,,,PHYSICS 262
,,,,,,,,,,,,,,,,,,,,,PSYCH 1950
,,,,,,,,,,,,,,,,,,,,,PSYCH 1952
,,,,,,,,,,,,,,,,,,,,,STAT 110
,,,,,,,,,,,,,,,,,,,,,STAT 111
,,,,,,,,,,,,,,,,,,,,,STAT 115
,,,,,,,,,,,,,,,,,,,,,STAT 117
,,,,,,,,,,,,,,,,,,,,,STAT 120
,,,,,,,,,,,,,,,,,,,,,STAT 121A
,,,,,,,,,,,,,,,,,,,,,STAT 121B
,,,,,,,,,,,,,,,,,,,,,STAT 123
,,,,,,,,,,,,,,,,,,,,,STAT 131
,,,,,,,,,,,,,,,,,,,,,STAT 139
,,,,,,,,,,,,,,,,,,,,,STAT 140
,,,,,,,,,,,,,,,,,,,,,STAT 149
,,,,,,,,,,,,,,,,,,,,,STAT 170
,,,,,,,,,,,,,,,,,,,,,STAT 171
,,,,,,,,,,,,,,,,,,,,,STAT 183
,,,,,,,,,,,,,,,,,,,,,STAT 186
,,,,,,,,,,,,,,,,,,,,,STAT 201
,,,,,,,,,,,,,,,,,,,,,STAT 210
,,,,,,,,,,,,,,,,,,,,,STAT 211
,,,,,,,,,,,,,,,,,,,,,STAT 212
,,,,,,,,,,,,,,,,,,,,,STAT 213
,,,,,,,,,,,,,,,,,,,,,STAT 220
,,,,,,,,,,,,,,,,,,,,,STAT 221
,,,,,,,,,,,,,,,,,,,,,STAT 230
,,,,,,,,,,,,,,,,,,,,,STAT 240
,,,,,,,,,,,,,,,,,,,,,STAT 244
,,,,,,,,,,,,,,,,,,,,,STAT 91R
,,,,,,,,,,,,,,,,,,,,,STAT 98
,,,,,,,,,,,,,,,,,,,,,STAT 98